Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,SYN Flag Count,ACK Flag Count,FIN Flag Count,PSH Flag Count,RST Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Source IP,Destination IP,Label
25,17,2017-07-05 10:29:52.028794,1,4,24,559,5547,139.64,21.23,231.11,108.12,6105254726.36,28000000.0,0.04,0.03,140,271,218.04,68.03,2,21,0,11,0,1,6,218.04,29200,26883,192.168.4.66,10.0.3.105,BENIGN
53,17,2017-07-06 04:02:14.470594,4770276,33,3,6174,3560,187.08,83.44,1186.71,221.78,2040.5,7.55,132507.67,101330.84,187,1227,270.38,514.38,3,3,0,4,0,1,0,270.38,512,65535,192.168.16.220,10.0.1.223,BENIGN
443,6,2017-07-06 01:37:01.050411,1526336,23,16,1916,19276,83.29,13.8,1204.74,490.27,13883.96,25.55,39136.82,12959.9,83,1245,543.37,582.5,3,0,2,0,2,0,1,543.37,-1,65535,192.168.15.16,10.0.0.116,BENIGN
22,6,2017-07-06 07:28:14.801598,291,2,0,0,0,0.0,0.0,0.0,0.0,0.0,6866.02,145.64,30.34,0,40,0.0,4.25,2,0,0,1,1,1,0,0.0,29200,65535,192.168.12.148,10.0.3.122,PortScan
993,17,2017-07-05 19:07:32.410574,4016593,1,27,82,23116,81.87,28.26,856.15,397.41,5775.53,6.97,143449.76,181619.06,82,896,828.5,392.89,0,6,3,6,1,0,27,828.5,512,-1,192.168.11.199,10.0.1.21,BENIGN
25,6,2017-07-05 13:50:56.138956,2032769,5,21,511,8490,102.22,15.62,404.26,190.73,4427.79,12.79,78183.45,100366.66,102,444,346.18,157.11,0,11,0,1,0,0,4,346.18,1024,235,192.168.5.211,10.0.0.156,BENIGN
53,17,2017-07-05 11:35:12.958719,3948886,43,18,9450,4428,219.76,93.87,246.02,94.3,3514.44,15.45,64735.84,37731.68,220,286,227.51,18.09,1,23,1,5,1,0,0,227.51,-1,235,192.168.8.177,10.0.2.63,BENIGN
25,17,2017-07-05 10:27:16.613914,3210779,13,24,1670,9369,128.49,24.74,390.39,183.4,3438.35,11.52,86777.83,83288.77,128,430,298.37,142.31,1,0,0,6,0,1,2,298.37,29200,-1,192.168.2.192,10.0.3.142,BENIGN
443,6,2017-07-05 23:11:59.482599,1,20,5,6476,4437,323.8,104.45,887.47,153.31,10913346837.01,25000000.0,0.04,0.03,324,927,436.53,287.83,1,22,2,2,0,0,0,436.53,1024,26883,192.168.12.209,10.0.0.121,BENIGN
3389,17,2017-07-05 11:04:49.996171,478415,23,6,2205,306,95.85,33.2,51.01,13.92,5247.98,60.62,16497.08,19429.69,51,136,86.58,40.65,1,16,2,10,1,0,0,86.58,-1,235,192.168.6.151,10.0.1.197,BruteForce
443,6,2017-07-06 02:04:37.448099,85896,64,0,11015,0,172.12,18.69,84.14,16.54,128241.97,745.09,1342.13,1334.94,84,212,172.12,47.37,6,132,0,76,1,0,0,172.12,-1,65535,192.168.14.124,10.0.4.128,DoS
8080,6,2017-07-06 04:17:17.561399,3611408,10,0,890,0,88.96,37.08,525.03,228.74,246.33,2.77,361140.88,229008.73,89,565,88.96,227.72,1,12,0,0,0,1,0,88.96,65535,-1,192.168.4.222,10.0.0.2,BENIGN
3306,17,2017-07-06 02:03:38.669435,5363863,36,24,5460,20468,151.67,15.7,852.84,263.05,4833.87,11.19,89397.72,107773.33,152,893,432.14,373.33,1,31,2,5,1,0,1,432.14,512,229,192.168.14.120,10.0.3.181,BENIGN
443,6,2017-07-05 11:53:16.198311,3022905,22,0,5165,0,234.79,51.84,1061.24,463.66,1708.73,7.28,137404.8,153114.31,235,1101,234.79,424.03,0,22,2,9,1,1,0,234.79,-1,65535,192.168.11.136,10.0.0.84,BENIGN
8080,6,2017-07-06 06:43:18.251004,4206410,1,17,245,7318,244.51,41.49,430.44,212.66,1797.74,4.28,233689.49,72525.47,245,470,420.11,100.69,0,13,1,5,1,0,17,420.11,65535,26883,192.168.10.115,10.0.0.7,BENIGN
80,6,2017-07-05 17:25:17.653145,1454425,21,20,2852,15098,135.79,15.28,754.91,220.66,12341.42,28.19,35473.78,36199.74,136,795,437.8,311.64,2,24,0,0,1,1,1,437.8,512,26883,192.168.6.125,10.0.1.104,BENIGN
443,17,2017-07-05 18:08:47.480875,5087778,40,18,7838,8901,195.94,70.07,494.5,136.16,3289.97,11.4,87720.33,68216.77,196,534,288.6,161.02,1,6,0,2,1,1,0,288.6,29200,-1,192.168.19.231,10.0.3.148,BENIGN
443,6,2017-07-05 18:17:54.976891,3823652,26,6,4731,6658,181.97,23.93,1109.68,298.92,2978.68,8.37,119489.13,84828.51,182,1150,355.92,475.11,4,17,2,8,0,1,0,355.92,1024,229,192.168.4.224,10.0.0.198,BENIGN
443,17,2017-07-06 04:31:22.525215,6652169,37,25,9869,6479,266.74,49.69,259.15,64.78,2457.58,9.32,107293.05,88460.4,259,307,263.68,19.02,0,2,0,8,1,1,1,263.68,65535,-1,192.168.3.24,10.0.1.89,BENIGN
443,6,2017-07-06 07:10:47.930784,4049505,2,18,926,3917,463.25,51.07,217.59,81.21,1195.98,4.94,202475.26,184194.14,218,503,242.16,146.56,0,6,1,5,1,1,9,242.16,1024,65535,192.168.9.187,10.0.1.126,BENIGN
22,6,2017-07-05 17:13:39.019986,429363,15,18,1009,573,67.26,17.74,31.86,11.62,3685.5,76.86,13011.03,6012.03,32,107,47.95,31.99,1,8,1,12,2,1,1,47.95,-1,26883,192.168.12.41,10.0.0.73,BruteForce
8080,17,2017-07-05 21:04:44.173227,1,3,0,0,0,0.0,0.0,0.94,0.22,0.0,3000000.0,0.33,0.5,0,41,0.0,11.3,2,0,2,2,0,1,0,0.0,-1,-1,192.168.9.133,10.0.2.120,PortScan
443,6,2017-07-05 14:27:33.570220,1659,503,1,29314,0,58.28,11.21,0.0,0.0,17667416.38,303762.85,3.29,1.27,0,98,58.16,45.93,411,8,0,0,4,0,0,58.16,65535,26883,192.168.18.138,10.0.2.37,DDoS
443,6,2017-07-05 19:20:51.196972,4035788,13,0,537,0,41.32,14.68,862.36,194.74,133.09,3.22,310445.28,366298.36,41,902,41.32,424.06,2,3,0,12,0,1,0,41.32,8192,-1,192.168.2.18,10.0.4.92,BENIGN
80,6,2017-07-06 03:01:00.881621,1,352,0,19733,0,56.06,23.07,0.0,0.0,19733465023.68,352000000.0,0.0,0.0,0,96,56.06,51.5,430,2,0,0,1,1,0,56.06,1024,229,192.168.6.169,10.0.0.50,DDoS
80,6,2017-07-06 03:46:44.375848,1131,399,1,30220,0,75.74,15.31,0.0,0.0,26714370.66,353598.23,2.83,2.41,0,116,75.55,57.12,717,2,0,0,3,0,0,75.55,29200,26883,192.168.8.54,10.0.2.34,DDoS
22,6,2017-07-06 04:08:42.118628,7659612,1,0,317,0,317.37,62.91,1408.6,697.71,41.43,0.13,7659612.47,1921197.1,317,1449,317.37,560.15,1,14,0,5,0,0,0,317.37,-1,-1,192.168.12.49,10.0.3.9,BENIGN
443,6,2017-07-05 15:15:57.376775,4496546,28,0,6926,0,247.37,83.14,1490.86,486.63,1540.39,6.23,160590.94,238556.43,247,1531,247.37,641.1,0,11,1,6,1,0,0,247.37,512,235,192.168.11.43,10.0.4.114,BENIGN
80,17,2017-07-06 07:52:59.692781,1189,692,3,43001,0,62.14,25.73,0.0,0.0,36143345.51,584168.31,1.71,1.44,0,102,61.87,37.46,284,0,1,1,2,0,0,61.87,512,26883,192.168.4.184,10.0.3.69,DDoS
443,6,2017-07-06 00:09:49.096343,7400807,30,25,8506,25877,283.55,32.17,1035.07,251.36,4645.87,7.43,134560.13,157496.4,284,1075,625.15,388.15,2,4,3,10,0,0,1,625.15,8192,-1,192.168.1.51,10.0.0.23,BENIGN
25,6,2017-07-06 02:41:25.534022,2497476,9,26,801,37244,88.98,27.49,1432.45,590.28,15233.2,14.01,71356.47,35342.44,89,1472,1086.99,683.49,0,21,3,0,0,1,3,1086.99,512,-1,192.168.7.14,10.0.1.175,BENIGN
3389,6,2017-07-06 07:19:34.513803,154406,9,24,1047,1308,116.35,12.86,54.5,21.0,15253.07,213.72,4678.99,1388.57,55,156,71.37,43.12,1,12,2,4,3,1,3,71.37,512,235,192.168.19.43,10.0.3.125,BruteForce
445,6,2017-07-05 16:18:58.617912,9334063,56,116,6736,120067,120.29,54.04,1035.06,516.69,13584.92,18.43,54267.81,40172.73,120,1075,737.22,479.06,1,238,2,72,0,0,2,737.22,-1,235,192.168.6.20,10.0.3.159,Infiltration
25,6,2017-07-05 14:20:05.290769,2808417,28,21,4282,0,152.92,36.9,0.0,0.0,1524.66,17.45,57314.63,54395.55,0,193,87.39,83.32,2,23,0,4,0,1,1,87.39,-1,26883,192.168.9.104,10.0.0.209,BENIGN
53,6,2017-07-06 02:17:43.605852,472,2,2,0,0,0.06,0.02,0.0,0.0,251.65,8473.74,118.01,152.15,0,40,0.03,18.56,2,1,0,0,1,1,1,0.03,65535,235,192.168.10.65,10.0.3.205,PortScan
443,6,2017-07-06 07:02:04.769830,1354813,99,11,23024,1112,232.56,30.64,101.06,25.71,17814.47,81.19,12316.48,14526.19,101,273,219.41,78.82,5,45,1,70,0,1,0,219.41,29200,65535,192.168.17.208,10.0.4.51,DoS
80,17,2017-07-06 05:07:21.557612,1712,1,1,54,2,53.73,14.08,1.87,0.58,32461.75,1167.7,856.39,896.03,2,94,27.8,33.4,334,2,1,0,2,0,1,27.8,65535,229,192.168.1.215,10.0.4.219,DDoS
8443,6,2017-07-06 01:52:27.737665,46611059,45,111,7093,110071,157.61,37.18,991.63,386.28,2513.64,3.35,298788.84,172370.08,158,1032,751.05,417.69,1,175,1,63,1,0,2,751.05,65535,65535,192.168.2.7,10.0.0.6,Infiltration
80,17,2017-07-05 12:54:27.434246,1210151,42,0,9146,0,217.75,70.21,0.93,0.29,7557.43,34.71,28813.13,29958.45,1,258,217.75,113.09,1,109,0,0,1,0,0,217.75,8192,26883,192.168.16.105,10.0.0.219,DoS
8080,6,2017-07-06 00:58:56.307308,943251,55,4,12991,570,236.19,93.14,142.47,40.72,14376.24,62.55,15987.32,18746.15,142,276,229.84,54.44,1,80,1,80,1,0,0,229.84,1024,26883,192.168.17.212,10.0.2.217,DoS
443,6,2017-07-05 08:35:55.425624,668707,16,9,103,2289,6.43,2.03,254.28,47.16,3576.21,37.39,26748.32,20351.19,6,294,95.66,142.98,0,7,1,3,0,1,1,95.66,1024,229,192.168.9.134,10.0.3.242,BENIGN
135,6,2017-07-05 14:30:23.586618,161,1,1,1,0,1.07,0.2,0.11,0.03,7298.87,12375.55,80.8,67.41,0,41,0.59,14.68,2,0,0,0,2,0,1,0.59,1024,-1,192.168.15.234,10.0.4.210,PortScan
443,6,2017-07-05 16:27:14.378399,3012838,9,9,3134,8569,348.24,65.64,952.09,164.38,3884.39,5.97,167379.94,195568.17,348,992,650.17,324.8,0,25,2,9,1,1,1,650.17,-1,235,192.168.14.109,10.0.3.80,BENIGN
3306,6,2017-07-05 10:50:39.219175,5842811,13,20,2217,16024,170.56,70.05,801.19,132.46,3121.97,5.65,177054.89,232639.91,171,841,552.76,329.56,1,22,0,10,0,1,2,552.76,-1,65535,192.168.16.248,10.0.2.58,BENIGN
8080,6,2017-07-05 12:41:46.601572,6194477,37,13,4021,3057,108.68,22.94,235.17,75.8,1142.71,8.07,123889.54,96038.74,109,275,141.57,69.89,3,3,1,7,1,1,0,141.57,8192,229,192.168.3.119,10.0.4.157,BENIGN
80,17,2017-07-05 13:43:10.764150,4241,380,0,26368,0,69.39,24.68,0.12,0.02,6216848.89,89592.14,11.16,14.71,0,109,69.39,37.61,819,0,0,2,4,1,0,69.39,1024,-1,192.168.18.238,10.0.4.188,DDoS
443,6,2017-07-05 15:45:33.345802,4531148,25,24,3424,25975,136.96,45.02,1082.29,400.04,6488.18,10.81,92472.41,79417.02,137,1122,599.98,492.23,3,14,1,3,0,0,1,599.98,-1,26883,192.168.13.115,10.0.2.156,BENIGN
3389,6,2017-07-05 11:04:37.429418,85409,20,6,1799,684,89.97,29.07,114.08,33.23,29081.56,304.41,3285.0,2775.07,90,154,95.53,14.96,2,12,2,14,0,0,0,95.53,-1,65535,192.168.11.186,10.0.1.83,BruteForce
22,17,2017-07-06 05:28:41.636575,3436254,30,11,12934,13671,431.13,157.2,1242.79,482.08,7742.3,11.93,83811.1,54822.71,431,1283,648.89,408.61,0,11,3,9,0,1,0,648.89,65535,235,192.168.2.51,10.0.2.9,BENIGN
6667,6,2017-07-06 06:05:06.595762,8288232,8,7,462,2165,57.75,14.91,309.23,92.53,316.91,1.81,552548.84,154871.18,58,349,175.11,130.36,1,4,1,2,1,0,1,175.11,512,65535,192.168.1.97,10.0.3.246,Botnet
80,6,2017-07-05 22:44:06.467348,798509,88,7,15090,1339,171.48,65.02,191.35,88.61,20575.41,118.97,8405.36,10492.33,171,231,172.94,29.52,5,76,0,67,2,0,0,172.94,29200,235,192.168.9.118,10.0.1.45,DoS
139,6,2017-07-05 20:59:28.784300,296,2,0,0,0,0.0,0.0,0.0,0.0,0.0,6752.42,148.1,186.28,0,40,0.0,21.56,1,1,1,0,1,1,0,0.0,65535,229,192.168.13.112,10.0.0.76,PortScan
3306,6,2017-07-05 12:53:28.756969,3882703,22,16,1876,16800,85.25,35.78,1050.02,169.55,4810.03,9.79,102176.4,78255.58,85,1090,491.47,484.4,0,16,0,10,0,0,1,491.47,1024,229,192.168.15.14,10.0.0.52,BENIGN
443,6,2017-07-06 05:30:22.670699,288894,7,0,669,0,95.57,38.92,197.02,86.02,2315.7,24.23,41270.64,35872.48,96,237,95.57,60.73,3,49,0,110,2,0,0,95.57,8192,65535,192.168.13.141,10.0.2.97,DoS
25,17,2017-07-06 06:04:22.714011,2225361,21,26,2633,20176,125.37,23.04,776.01,234.32,10249.51,21.12,47348.12,53006.91,125,816,485.3,340.83,1,4,0,0,0,0,1,485.3,-1,229,192.168.4.84,10.0.4.18,BENIGN
21,17,2017-07-06 02:08:33.449255,508695,10,13,1100,1483,110.0,39.77,114.09,35.12,5077.97,45.21,22117.21,21802.85,110,154,112.31,5.08,4,7,2,7,0,1,1,112.31,8192,229,192.168.19.179,10.0.2.10,BruteForce
443,6,2017-07-05 11:51:03.175850,1360,398,0,21907,0,55.04,12.18,0.0,0.0,16105311.55,292592.9,3.42,4.62,0,95,55.04,39.31,219,6,0,0,3,1,0,55.04,29200,26883,192.168.2.13,10.0.4.12,DDoS
80,6,2017-07-05 08:07:27.997047,3040986,31,18,7780,1878,250.97,58.8,104.32,20.15,3175.84,16.11,62060.95,86506.48,104,291,197.1,85.03,1,4,1,2,2,0,1,197.1,-1,65535,192.168.2.253,10.0.4.227,BENIGN
135,6,2017-07-05 20:59:49.410673,136,2,0,2,0,1.03,0.34,0.75,0.35,15133.67,14664.67,68.19,77.17,1,41,1.03,18.05,3,0,0,0,1,0,0,1.03,1024,235,192.168.18.246,10.0.1.251,PortScan
22,17,2017-07-06 02:03:57.235397,1,25,22,4551,28030,182.03,63.17,1274.08,550.93,32580471058.03,47000000.0,0.02,0.03,182,1314,693.2,565.35,0,19,1,9,1,0,1,693.2,-1,235,192.168.1.97,10.0.0.144,BENIGN
80,6,2017-07-05 13:29:02.927553,2356,265,5,12773,0,48.2,10.15,0.0,0.0,5419680.88,114561.94,8.73,10.54,0,88,47.31,31.99,103,4,0,1,1,0,0,47.31,-1,-1,192.168.6.93,10.0.4.164,DDoS
8080,6,2017-07-06 06:07:58.556764,1,22,0,1705,0,77.5,29.86,1219.11,199.9,1705060298.6,22000000.0,0.05,0.02,78,1259,77.5,578.88,0,5,2,2,0,0,0,77.5,-1,235,192.168.18.76,10.0.4.130,BENIGN
80,6,2017-07-05 22:18:24.280373,2019971,6,0,1248,0,208.04,72.43,191.31,54.27,617.95,2.97,336661.98,231626.85,191,248,208.04,19.69,5,112,0,81,0,1,0,208.04,-1,26883,192.168.19.250,10.0.4.98,DoS
443,17,2017-07-05 11:52:32.153956,4416,304,0,13463,0,44.28,5.07,1.81,0.46,3048102.28,68829.38,14.53,12.62,2,84,44.28,34.75,195,4,0,0,4,1,0,44.28,1024,65535,192.168.10.24,10.0.3.4,DDoS
8080,6,2017-07-05 17:46:22.831453,1019,136,5,7936,7,58.35,24.48,1.34,0.15,7793843.62,138361.91,7.23,9.28,1,98,56.33,35.83,566,1,0,0,1,1,0,56.33,-1,65535,192.168.13.140,10.0.3.252,DDoS
993,6,2017-07-06 05:22:10.459740,5728052,5,11,400,4572,79.93,10.13,415.67,78.13,868.02,2.79,358003.27,519282.21,80,456,310.75,181.88,1,7,1,4,1,1,2,310.75,512,26883,192.168.11.185,10.0.4.198,BENIGN
8080,6,2017-07-05 14:44:17.808325,93,3,0,0,0,0.0,0.0,0.22,0.1,0.0,32199.92,31.06,30.08,0,40,0.0,13.06,2,0,0,0,0,1,0,0.0,1024,235,192.168.2.139,10.0.0.24,PortScan
22,6,2017-07-05 16:23:22.068835,586426,11,5,1125,481,102.3,48.58,96.17,21.48,2738.94,27.28,36651.63,29206.9,96,142,100.39,23.8,1,0,2,10,1,0,0,100.39,-1,26883,192.168.11.110,10.0.2.244,BruteForce
443,6,2017-07-05 10:45:38.142073,312307,221,0,12482,0,56.48,9.66,161.62,22.64,39968.19,707.64,1413.16,539.3,56,202,56.48,65.83,0,97,3,107,1,0,0,56.48,29200,65535,192.168.1.163,10.0.3.175,DoS
443,6,2017-07-05 11:28:56.379184,1343156,151,5,30040,653,198.94,85.19,130.57,30.54,22851.39,116.14,8609.98,4293.73,131,239,196.75,35.62,6,80,0,68,1,1,0,196.75,512,235,192.168.1.127,10.0.1.154,DoS
8080,6,2017-07-05 21:56:16.110684,3223921,15,33,5921,32743,394.71,60.65,992.21,218.23,11992.74,14.89,67165.02,79248.18,395,1032,805.49,320.33,2,14,1,7,1,0,2,805.49,65535,235,192.168.5.91,10.0.4.196,BENIGN
443,17,2017-07-06 03:08:48.633414,491984,31,6,5745,715,185.32,29.69,119.08,50.99,13129.5,75.21,13296.88,3509.3,119,225,174.58,35.67,0,28,0,95,2,1,0,174.58,1024,65535,192.168.13.175,10.0.2.44,DoS
993,17,2017-07-05 17:00:02.023986,3775712,15,9,1220,4040,81.36,34.22,448.85,219.73,1393.15,6.36,157321.35,198728.53,81,489,219.17,206.91,0,0,0,0,0,0,1,219.17,29200,235,192.168.10.127,10.0.2.124,BENIGN
8080,6,2017-07-05 11:09:37.000330,5081775,24,8,2755,6642,114.79,42.06,830.3,267.11,1849.21,6.3,158805.47,99259.43,115,870,293.66,363.38,0,16,1,4,0,0,0,293.66,1024,235,192.168.14.169,10.0.4.179,BENIGN
80,6,2017-07-05 21:25:10.121639,6675692,20,0,5627,0,281.37,52.87,930.49,361.17,842.98,3.0,333784.64,157691.37,281,970,281.37,329.52,0,27,0,14,1,1,0,281.37,512,235,192.168.8.61,10.0.2.56,BENIGN
8080,17,2017-07-06 05:04:48.922870,1464949,6,4,1680,2002,280.01,95.89,500.49,121.91,2513.4,6.83,146495.0,35661.31,280,540,368.2,112.96,0,8,1,3,0,1,1,368.2,29200,229,192.168.6.92,10.0.1.77,WebAttack
139,6,2017-07-05 16:51:59.220293,234,2,1,2,0,0.86,0.27,0.0,0.0,7353.73,12819.21,78.01,112.14,0,41,0.57,20.62,1,0,0,1,0,0,0,0.57,1024,65535,192.168.7.19,10.0.2.9,PortScan
3306,6,2017-07-05 08:59:17.490328,200,2,0,1,0,0.26,0.13,0.0,0.0,2633.3,9976.93,100.23,50.58,0,40,0.26,3.29,1,0,0,0,1,1,0,0.26,-1,229,192.168.12.183,10.0.4.4,PortScan
993,17,2017-07-05 17:42:07.210298,5016983,15,34,3783,23769,252.2,56.72,699.08,164.54,5491.69,9.77,102387.42,61136.42,252,739,562.28,230.77,2,12,2,5,2,1,2,562.28,512,229,192.168.15.57,10.0.2.13,BENIGN
80,6,2017-07-05 19:38:08.470340,432885,257,14,65176,2257,253.6,71.39,161.18,44.47,155774.4,626.03,1597.36,2062.85,161,294,248.83,52.15,3,17,1,72,1,1,0,248.83,1024,26883,192.168.2.138,10.0.1.30,DoS
443,17,2017-07-05 18:28:20.556382,4974554,15,10,2841,9037,189.41,73.04,903.66,147.04,2387.72,5.03,198982.2,95467.53,189,944,475.11,375.85,0,2,2,1,1,1,1,475.11,1024,235,192.168.12.82,10.0.4.83,BENIGN
23,17,2017-07-05 21:29:17.835994,94,3,0,1,0,0.38,0.09,0.0,0.0,12178.1,31892.16,31.36,19.15,0,40,0.38,6.81,2,0,0,0,2,0,0,0.38,1024,235,192.168.1.138,10.0.4.55,PortScan
22,6,2017-07-05 12:06:32.787897,772792,16,0,5865,0,366.57,165.56,783.11,276.35,7589.44,20.7,48299.51,46439.48,367,823,366.57,210.08,0,16,0,3,0,0,0,366.57,65535,65535,192.168.15.144,10.0.2.196,BENIGN
139,6,2017-07-06 03:50:25.665326,47186997,14,129,1044,117311,74.58,30.26,909.39,365.64,2508.21,3.03,329979.0,68616.86,75,949,827.66,423.51,1,262,2,69,0,0,9,827.66,1024,65535,192.168.6.153,10.0.1.191,Infiltration
22,6,2017-07-05 13:39:45.211178,476052,7,8,446,652,63.77,31.2,81.44,34.31,2306.3,31.51,31736.86,36289.33,64,121,73.19,22.7,2,15,2,6,0,0,1,73.19,-1,229,192.168.15.187,10.0.3.49,BruteForce
3389,17,2017-07-05 22:27:19.143773,299924,26,14,2749,1940,105.73,36.33,138.57,48.59,15633.42,133.37,7498.12,3432.8,106,179,117.22,20.64,3,8,2,5,1,0,1,117.22,1024,26883,192.168.14.189,10.0.1.251,BruteForce
53,6,2017-07-05 18:48:45.553347,4211768,17,14,241,12693,14.18,6.74,906.62,219.66,3070.87,7.36,135863.51,86711.6,14,947,417.22,450.0,2,9,1,3,0,1,1,417.22,1024,26883,192.168.13.16,10.0.2.161,BENIGN
3306,17,2017-07-05 09:45:55.243159,267382,1,11,320,3721,320.02,137.33,338.32,68.89,15115.09,44.88,22281.86,6521.04,320,378,336.79,26.93,1,13,1,7,1,0,11,336.79,8192,26883,192.168.13.49,10.0.4.79,BENIGN
80,6,2017-07-05 20:04:12.697697,4341,908,0,53780,0,59.23,23.23,0.0,0.0,12387390.4,209144.88,4.78,5.01,0,99,59.23,41.45,276,3,0,1,2,0,0,59.23,65535,-1,192.168.16.159,10.0.0.126,DDoS
443,17,2017-07-05 22:10:07.504758,8371812,19,20,3786,15577,199.24,81.18,778.87,346.0,2312.88,4.66,214661.86,310620.87,199,819,496.49,305.69,3,0,1,6,0,0,1,496.49,512,235,192.168.5.73,10.0.4.44,BENIGN
